" Ущелье дракона","  "
" Ущелье дракона"," взять меч "
" Ущелье дракона","  "
" Ущелье дракона"," хуй "
" Ущелье дракона"," сосать хуй "
" Ущелье дракона"," сосать леденец "
" Ущелье дракона"," хуй "
" Ущелье дракона"," хуй "
" Ущелье дракона"," дрочить "
" Ущелье дракона"," дрочить "
" Ущелье дракона"," выебать дракона "
" Ущелье дракона"," дракон "
" Ущелье дракона"," осм "
" Ущелье дракона"," осмотреться "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона","  "
" Ущелье дракона"," осмотреться "
" Ущелье дракона"," убить дракона "
" Ущелье дракона"," искать "
" Ущелье дракона"," искатттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттттть меч "
" Ущелье дракона"," осмотреть кусты "
" Ущелье дракона"," взять меч "
" Ущелье дракона"," убить дракона "
" Ущелье дракона"," говорить с драконом "
" Ущелье дракона","- Дракон, зачем тебе Елена? Что ты собрался с ней делать? - спрашиваешь ты."
" Ущелье дракона","- Дракон, давай меняться: я тебе ящик с золотыми монетами, а ты мне Елену вернешь живой и невредимой, -  говоришь ты, пытаясь потянуть время."
" Ущелье дракона"," убить дракона "
" Ущелье дракона"," убить дракона "
" Ущелье дракона"," говорить дракон "
" Ущелье дракона","-Дракон, я сохраню тебе жизнь, если ты сейчас же отпустишь Елену и поклянешься, что впредь никогда не будешь похищать молодых симпатичных девственниц, - говоришь ты."
" Ущелье дракона"," убить дракона "
" Ущелье дракона"," идти пещера "
" Пещера дракона"," говорить елена "
" Пещера дракона","- Елена, тут такая темнота стоит, я ничего не вижу, - говоришь ты."
" Пещера дракона","- Елена, как ты? - говоришь ты."
" Пещера дракона"," осмотреть карман "
" Пещера дракона"," взять зажигалку "
" Пещера дракона"," осмотреться "
" Пещера дракона"," осмотреть кости "
" Пещера дракона"," выйти из пещеры "
" Ущелье дракона"," взять ветку "
" Ущелье дракона"," зажечь ветку "
" Ущелье дракона"," поджечь ветку "
" Ущелье дракона"," использовать зажигалку "
" Ущелье дракона"," зажечь ветку зажигалкой "
" Ущелье дракона"," идти пещера "
" Пещера дракона"," зажечь ветк зажигалк "
" Пещера дракона"," зажечь ветку зажигалкой "
" Пещера дракона"," резать веревки "
" Пещера дракона"," резать веревки мечом "
" Пещера дракона"," развязать веревки "
" Пещера дракона"," говорить елена "
" Пещера дракона","- Елена, как же тебя избавить от этих веревок, - сокрушаешься ты."
" Пещера дракона","- Елена, как же тебя избавить от этих веревок, - сокрушаешься ты."
" Пещера дракона","- Елена, как ты? - говоришь ты."
" Пещера дракона"," осмотреться "
" Пещера дракона"," взять кость "
" Пещера дракона"," выйти из пещеры "
" Ущелье дракона"," осмотреть бузину "
" Ущелье дракона"," осмотреть бузина "
" Ущелье дракона"," осмотреть кусты "
" Ущелье дракона"," ЧТО ТАМ СУКА БЛЕСТИТ? "
" Ущелье дракона"," БЛЯДЬ "
" Ущелье дракона"," ЕБАТЬСЯ В ХУЙ "
" Ущелье дракона"," онанировать "
" Ущелье дракона"," мастурбировать "
" Ущелье дракона"," осмтреться "
" Ущелье дракона"," идти пещера "
" Пещера дракона"," идти пещера "
" Пещера дракона"," выйти  "
" Пещера дракона"," выйти из пещеры "
" Ущелье дракона"," взять ветку "
" Ущелье дракона"," идти пещера "
" Пещера дракона"," резать веревки "
" Пещера дракона"," сжечь веревки "
" Пещера дракона"," осм кости "
" Пещера дракона"," резать веревку ножницами "
" Пещера дракона"," выйти пещера "
" Пещера дракона"," выйти из пещеры "
" Ущелье дракона"," гов елена "
" Ущелье дракона"," диал елена "
" Ущелье дракона","- Лена, ты любишь меня? - откровенно говоришь ты."
" Ущелье дракона","- Лена, этот дракон тебя не мучил? - с болью в голосе говоришь ты."
" Ущелье дракона","- Лена, как ты себя чувствуешь? - спрашиваешь ты."
" Ущелье дракона","- Лена, ты любишь меня? - откровенно говоришь ты."
" Ущелье дракона"," целовать елена "
" Ущелье дракона"," расстегнуть пуговицу "
" Ущелье дракона"," грудь "
" Ущелье дракона"," снять штаны "
